iter	Passed	Remaining
408	4296	6208
409	4305	6196
410	4315	6184
411	4324	6172
412	4335	6161
413	4345	6151
414	4355	6139
415	4365	6128
416	4374	6115
417	4384	6105
418	4393	6091
419	4401	6078
420	4409	6064
421	4417	6051
422	4426	6037
423	4434	6024
424	4443	6011
425	4451	5998
426	4460	5985
427	4469	5972
428	4477	5958
429	4485	5946
430	4493	5932
431	4502	5919
432	4510	5905
433	4519	5893
434	4527	5880
435	4536	5868
436	4545	5855
437	4553	5842
438	4562	5830
439	4570	5816
440	4579	5804
441	4588	5792
442	4597	5780
443	4606	5767
444	4614	5755
445	4623	5743
446	4631	5730
447	4640	5718
448	4650	5706
449	4659	5695
450	4668	5683
451	4678	5672
452	4688	5661
453	4697	5649
454	4707	5638
455	4716	5626
456	4724	5613
457	4732	5600
458	4741	5588
459	4749	5576
460	4758	5563
461	4766	5551
462	4775	5539
463	4784	5526
464	4793	5515
465	4802	5503
466	4810	5490
467	4818	5477
468	4826	5464
469	4835	5453
470	4844	5440
471	4852	5428
472	4862	5417
473	4871	5405
474	4880	5393
475	4888	5381
476	4897	5369
477	4906	5357
478	4914	5345
479	4924	5334
480	4933	5323
481	4941	5311
482	4950	5298
483	4959	5287
484	4969	5276
485	4977	5264
486	4987	5253
487	4995	5241
488	5004	5229
489	5012	5217
490	5022	5206
491	5032	5196
492	5041	5184
493	5051	5173
494	5060	5162
495	5074	5155
496	5083	5145
497	5092	5133
498	5100	5121
499	5109	5109
500	5117	5096
501	5126	5085
502	5135	5073
503	5146	5064
504	5155	5052
505	5163	5041
506	5172	5029
507	5180	5017
508	5188	5005
509	5199	4995
510	5208	4983
511	5220	4975
512	5230	4964
513	5237	4952
514	5247	4941
515	5255	4929
516	5264	4918
517	5273	4907
518	5282	4895
519	5290	4883
520	5298	4871
521	5308	4861
522	5317	4849
523	5325	4838
524	5335	4827
525	5344	4815
526	5352	4803
527	5360	4791
528	5369	4780
529	5377	4769
530	5386	4757
531	5396	4747
532	5404	4735
533	5412	4723
534	5421	4711
535	5429	4700
536	5438	4688
537	5446	4677
538	5455	4665
539	5463	4654
540	5473	4643
541	5481	4632
542	5490	4621
543	5499	4609
544	5508	4598
545	5517	4587
546	5526	4576
547	5535	4565
548	5543	4554
549	5552	4542
550	5560	4531
551	5568	4519
552	5576	4507
553	5585	4496
554	5593	4484
555	5601	4473
556	5610	4462
557	5618	4450
558	5626	4439
559	5635	4427
560	5643	4416
561	5653	4405
562	5660	4393
563	5669	4382
564	5677	4370
565	5686	4360
566	5694	4348
567	5703	4337
568	5712	4326
569	5720	4315
570	5729	4304
571	5738	4293
572	5747	4283
573	5756	4272
574	5764	4260
575	5773	4249
576	5781	4238
577	5790	4227
578	5797	4215
579	5806	4205
580	5815	4193
581	5823	4182
582	5831	4171
583	5839	4159
584	5848	4148
585	5856	4137
586	5865	4126
587	5873	4115
588	5883	4105
589	5891	4094
590	5899	4082
591	5908	4071
592	5917	4061
593	5928	4052
594	5937	4041
595	5947	4031
596	5955	4020
597	5964	4009
598	5973	3998
599	5982	3988
600	5991	3977
601	6001	3967
602	6009	3956
603	6022	3948
604	6033	3939
605	6042	3928
606	6052	3918
607	6063	3909
608	6073	3899
609	6083	3889
610	6092	3878
611	6102	3868
612	6111	3858
613	6121	3848
614	6130	3837
615	6140	3827
616	6149	3817
617	6158	3806
618	6167	3796
619	6176	3785
620	6185	3775
621	6196	3765
622	6207	3756
623	6216	3746
624	6225	3735
625	6234	3724
626	6244	3714
627	6252	3703
628	6261	3693
629	6270	3682
630	6278	3671
631	6286	3660
632	6295	3649
633	6304	3639
634	6313	3628
635	6323	3618
636	6333	3608
637	6343	3599
638	6353	3589
639	6363	3579
640	6373	3569
641	6383	3559
642	6394	3550
643	6405	3541
644	6416	3531
645	6428	3522
646	6438	3512
647	6447	3502
648	6457	3492
649	6467	3482
650	6476	3471
651	6486	3461
652	6494	3451
653	6502	3440
654	6511	3429
655	6519	3419
656	6528	3408
657	6536	3397
658	6545	3387
659	6554	3376
660	6564	3366
661	6573	3356
662	6582	3345
663	6592	3335
664	6602	3325
665	6611	3315
666	6621	3305
667	6630	3295
668	6639	3285
669	6648	3274
670	6656	3263
671	6665	3253
672	6673	3242
673	6683	3232
674	6691	3221
675	6701	3211
676	6709	3201
677	6717	3190
678	6726	3179
679	6734	3169
680	6743	3158
681	6751	3148
682	6761	3137
683	6770	3127
684	6779	3117
685	6787	3106
686	6796	3096
687	6805	3085
688	6814	3075
689	6823	3065
690	6832	3055
691	6840	3044
692	6849	3034
693	6858	3023
694	6865	3013
695	6874	3002
696	6883	2992
697	6892	2981
698	6900	2971
699	6909	2961
700	6917	2950
701	6926	2940
702	6934	2929
703	6946	2920
704	6954	2910
705	6963	2899
706	6972	2889
707	6981	2879
708	6989	2868
709	6998	2858
710	7006	2847
711	7014	2837
712	7023	2827
713	7033	2817
714	7044	2807
715	7053	2797
716	7069	2790
717	7078	2780
718	7088	2770
719	7096	2759
720	7104	2749
721	7114	2739
722	7124	2729
723	7135	2720
724	7144	2709
725	7153	2699
726	7162	2689
727	7171	2679
728	7181	2669
729	7193	2660
730	7204	2651
731	7213	2641
732	7224	2631
733	7234	2621
734	7244	2611
735	7253	2601
736	7262	2591
737	7271	2581
738	7280	2571
739	7289	2561
740	7297	2550
741	7306	2540
742	7314	2529
743	7323	2519
744	7331	2509
745	7340	2499
746	7349	2489
747	7357	2478
748	7366	2468
749	7374	2458
750	7383	2448
751	7391	2437
752	7400	2427
753	7408	2417
754	7417	2406
755	7425	2396
756	7433	2386
757	7441	2375
758	7450	2365
759	7459	2355
760	7468	2345
761	7477	2335
762	7485	2325
763	7494	2315
764	7503	2305
765	7511	2294
766	7521	2284
767	7530	2274
768	7538	2264
769	7547	2254
770	7555	2244
771	7564	2234
772	7572	2223
773	7581	2213
774	7590	2203
775	7599	2193
776	7607	2183
777	7616	2173
778	7624	2163
779	7633	2152
780	7642	2142
781	7650	2132
782	7660	2122
783	7669	2112
784	7677	2102
785	7686	2092
786	7694	2082
787	7703	2072
788	7711	2062
789	7720	2052
790	7729	2042
791	7737	2032
792	7746	2022
793	7754	2011
794	7763	2001
795	7771	1991
796	7779	1981
797	7787	1971
798	7796	1961
799	7805	1951
800	7813	1941
801	7822	1931
802	7830	1921
803	7842	1911
804	7850	1901
805	7860	1891
806	7868	1881
807	7877	1871
808	7886	1861
809	7893	1851
810	7902	1841
811	7910	1831
812	7918	1821
813	7927	1811
814	7935	1801
815	7944	1791
816	7951	1781
817	7960	1771
818	7969	1761
819	7977	1751
820	7987	1741
821	7997	1731
822	8009	1722
823	8020	1713
824	8031	1703
825	8042	1694
826	8053	1684
827	8065	1675
828	8079	1666
829	8089	1656
830	8099	1647
831	8110	1637
832	8119	1627
833	8128	1617
834	8139	1608
835	8149	1598
836	8158	1588
837	8167	1578
838	8178	1569
839	8187	1559
840	8196	1549
841	8204	1539
842	8213	1529
843	8221	1519
844	8229	1509
845	8237	1499
846	8245	1489
847	8253	1479
848	8262	1469
849	8270	1459
850	8279	1449
851	8287	1439
852	8295	1429
853	8303	1419
854	8312	1409
855	8321	1399
856	8329	1389
857	8339	1380
858	8348	1370
859	8356	1360
860	8365	1350
861	8373	1340
862	8382	1330
863	8390	1320
864	8399	1310
865	8407	1300
866	8416	1291
867	8424	1281
868	8433	1271
869	8442	1261
870	8450	1251
871	8459	1241
872	8467	1231
873	8477	1222
874	8485	1212
875	8494	1202
876	8502	1192
877	8510	1182
878	8519	1172
879	8527	1162
880	8536	1153
881	8544	1143
882	8553	1133
883	8563	1123
884	8572	1113
885	8580	1104
886	8588	1094
887	8598	1084
888	8608	1074
889	8618	1065
890	8628	1055
891	8639	1046
892	8650	1036
893	8661	1026
894	8670	1017
895	8680	1007
896	8691	997
897	8701	988
898	8709	978
899	8717	968
900	8725	958
901	8734	948
902	8743	939
903	8755	929
904	8764	920
905	8774	910
906	8782	900
907	8791	890
908	8801	881
909	8812	871
910	8824	862
911	8834	852
912	8844	842
913	8853	833
914	8862	823
915	8871	813
916	8879	803
917	8889	794
918	8897	784
919	8905	774
920	8914	764
921	8923	754
922	8932	745
923	8941	735
924	8949	725
925	8958	715
926	8966	706
927	8975	696
928	8983	686
929	8992	676
930	9001	667
931	9010	657
932	9019	647
933	9028	637
934	9037	628
935	9045	618
936	9054	608
937	9066	599
938	9078	589
939	9086	580
940	9095	570
941	9104	560
942	9112	550
943	9120	541
944	9129	531
945	9138	521
946	9147	511
947	9158	502
948	9169	492
949	9177	483
950	9186	473
951	9196	463
952	9205	454
953	9214	444
954	9223	434
955	9232	424
956	9241	415
957	9250	405
958	9259	395
959	9268	386
960	9278	376
961	9287	366
962	9296	357
963	9306	347
964	9316	337
965	9325	328
966	9335	318
967	9345	308
968	9355	299
969	9364	289
970	9374	279
971	9383	270
972	9391	260
973	9400	250
974	9410	241
975	9418	231
976	9427	221
977	9436	212
978	9445	202
979	9454	192
980	9463	183
981	9472	173
982	9481	163
983	9490	154
984	9499	144
985	9508	135
986	9517	125
987	9526	115
988	9535	106
989	9544	96
990	9553	86
991	9563	77
992	9573	67
993	9582	57
994	9591	48
995	9600	38
996	9610	28
997	9619	19
998	9628	9
999	9637	0
