iter	RMSE
169	966853.6326
170	965880.5249
171	965463.6556
172	965084.6876
173	964374.8376
174	964058.6889
175	963529.4883
176	963180.2166
177	962720.1912
178	962315.9637
179	961778.2057
180	961128.932
181	960630.965
182	960232.4208
183	959757.1179
184	959457.328
185	959007.3093
186	958665.2896
187	958252.1853
188	957863.051
189	957497.028
190	957043.3989
191	956737.9857
192	956445.069
193	956131.4229
194	955644.4445
195	955172.3483
196	954763.9917
197	954376.5276
198	953846.4163
199	953305.4367
200	953045.4305
201	952675.2639
202	952270.4701
203	951947.6268
204	951326.2066
205	950808.2526
206	950366.913
207	950109.5179
208	949572.1188
209	949367.7435
210	948900.077
211	948397.7654
212	948124.3939
213	947910.9618
214	947405.9255
215	947067.9722
216	946825.979
217	946381.347
218	946048.3516
219	945674.7695
220	945297.1365
221	945146.6338
222	944738.515
223	944493.3437
224	944287.75
225	943982.9624
226	943630.1222
227	943227.8612
228	942796.9019
229	942539.5562
230	942264.8007
231	941888.7462
232	941380.8078
233	941233.8014
234	940738.4566
235	940530.9833
236	940194.8666
237	939780.9351
238	939639.5029
239	939109.2829
240	938693.2862
241	938304.4556
242	938106.9409
243	937758.8376
244	937554.9969
245	937294.2304
246	937041.5782
247	936592.3165
248	936321.2115
249	935968.162
250	935655.2241
251	935367.5732
252	935165.2528
253	934959.3487
254	934831.6582
255	934584.3369
256	934181.7532
257	933855.6388
258	933473.9761
259	933163.5879
260	932824.348
261	932458.5794
262	932174.8283
263	931803.9137
264	931678.4886
265	931188.9267
266	930840.0894
267	930386.8209
268	930098.9462
269	929835.7299
270	929578.6346
271	929046.1035
272	928771.5774
273	928390.6759
274	928033.7783
275	927830.4401
276	927705.3511
277	927135.436
278	926818.4568
279	926342.9395
280	925847.8847
281	925561.1579
282	925358.1339
283	925124.891
284	924804.9879
285	924534.1577
286	924097.0515
287	923838.4445
288	923496.9545
289	923225.1361
290	922864.9401
291	922610.65
292	922355.2538
293	921768.0395
294	921401.7963
295	921171.1274
296	920833.8867
297	920414.7297
298	920286.2698
299	920137.0581
300	919864.7183
301	919610.8651
302	919254.3537
303	919069.8446
304	918720.3052
305	918381.7157
306	918147.6582
307	917652.5327
308	917394.8225
309	917077.8883
310	916838.9594
311	916407.9295
312	916221.957
313	915971.1703
314	915636.0884
315	915231.1806
316	914926.3864
317	914747.934
318	914492.6408
319	914327.7283
320	914048.8919
321	913855.5901
322	913495.6118
323	913245.4776
324	913014.4614
325	912857.3944
326	912478.6832
327	912182.399
328	911897.9011
329	911579.2064
330	911316.5194
331	911075.1515
332	910905.0908
333	910650.0508
334	910481.2198
335	910127.4162
336	909774.842
337	909598.9129
338	909202.6291
339	908856.9826
340	908513.3316
341	908358.8201
342	908116.3508
343	907817.6839
344	907649.2463
345	907506.8809
346	907302.164
347	906939.5636
348	906699.4278
349	906190.1658
350	905921.6027
351	905433.0555
352	905159.1726
353	904745.7486
354	904455.1696
355	904395.988
356	904102.9348
357	903771.6048
358	903500.2355
359	903220.7096
360	902995.5282
361	902699.6704
362	902053.8926
363	901743.5551
364	901429.0558
365	901140.1718
366	900910.4799
367	900762.3337
368	900357.3386
369	900050.0194
370	899805.0286
371	899457.289
372	899163.5372
373	899005.8382
374	898799.0577
375	898503.2308
376	898335.5295
377	898037.7396
378	897594.0741
379	897404.1555
380	897173.3159
381	896859.0971
382	896607.507
383	896023.8023
384	895782.1027
385	895628.4626
386	895301.3672
387	895066.4258
388	894813.6466
389	894435.9578
390	894049.8869
391	893843.386
392	893633.3464
393	893485.9205
394	893299.2132
395	892987.5628
396	892673.6904
397	892095.155
398	891755.6733
399	891465.0067
400	891180.1192
401	890798.7543
402	890578.9513
403	890228.1451
404	889890.3522
405	889657.421
406	889415.6049
407	889091.7985
408	888853.1145
409	888684.047
410	888377.7366
411	888164.2239
412	887933.1648
413	887585.4515
414	887400.6667
415	887161.2632
416	886924.3715
417	886542.2762
418	886366.0168
419	886177.2684
420	885965.7101
421	885754.8645
422	885489.0513
423	885136.9538
424	884948.5322
425	884706.4916
426	884428.6366
427	884323.3809
428	884107.5481
429	883752.0663
430	883373.0744
431	883166.3587
432	882996.8895
433	882892.4712
434	882553.8288
435	882111.9165
436	881926.3525
437	881629.125
438	881436.3188
439	881151.5583
440	880824.6579
441	880550.7314
442	880416.022
443	880162.2679
444	879855.3983
445	879477.0259
446	879177.0601
447	878844.5424
448	878550.8326
449	878391.4831
450	878215.4154
451	878042.7033
452	877749.2972
453	877592.8172
454	877405.7586
455	877179.9921
456	877004.298
457	876830.2272
458	876554.014
459	876292.8954
460	876087.5578
461	875826.4296
462	875654.8731
463	875491.9519
464	875234.3302
465	874936.2594
466	874775.7247
467	874634.2217
468	874406.9665
469	874144.1358
470	873990.7016
471	873748.0325
472	873416.3555
473	873107.687
474	872903.2728
475	872775.1584
476	872630.6909
477	872294.2648
478	872107.1778
479	871738.2018
480	871445.4274
481	871224.6595
482	870958.8258
483	870789.6771
484	870615.1867
485	870439.2289
486	870126.5646
487	869840.1541
488	869614.1643
489	869487.4842
490	869294.4961
491	869051.5412
492	868854.9104
493	868730.9922
494	868566.206
495	868369.6998
496	868074.6381
497	867971.3225
498	867787.5468
499	867600.0744
500	867468.626
501	867231.8896
502	867075.2396
503	866781.5034
504	866507.8318
505	866365.3744
506	866021.8727
507	865839.8619
508	865686.9246
509	865460.3125
510	865192.9649
511	864999.2576
512	864799.7269
513	864641.4493
514	864444.77
515	864253.4849
516	863929.2058
517	863623.6688
518	863368.1258
519	863162.3646
520	863029.9345
521	862820.2555
522	862587.917
523	862320.0184
524	862005.2023
525	861703.6821
526	861600.6466
527	861397.0111
528	861235.279
529	861023.857
530	860925.8034
531	860659.0371
532	860322.6874
533	860099.2126
534	859760.8155
535	859563.0115
536	859431.8024
537	859301.7476
538	859123.4907
539	858836.0297
540	858571.1198
541	858478.1585
542	858213.828
543	857987.9096
544	857749.4358
545	857307.6066
546	857080.6359
547	856773.4373
548	856499.1225
549	856229.1431
550	856053.2248
551	855851.827
552	855796.4445
553	855596.0173
554	855406.0761
555	855212.2289
556	855034.6595
557	854874.7114
558	854735.1615
559	854519.1756
560	854357.8648
561	854171.5182
562	854117.1434
563	853935.6534
564	853766.1848
565	853553.5208
566	853280.0529
567	853151.7186
568	853016.684
569	852907.5868
570	852687.7801
571	852646.6567
572	852456.0173
573	852244.4999
574	852194.4348
575	851954.8874
576	851809.022
577	851573.1555
578	851441.1877
579	851066.7594
580	850763.9341
581	850557.4536
582	850403.7609
583	850212.5149
584	849957.3662
585	849805.2259
